local_bsz,step_time,sync_time,num_nodes,num_replicas
32,0.04108920693397522,0.00038000199757516384,1,1
45,0.03845062851905823,0.0002694960031658411,1,1
64,0.04358676075935364,0.00033447199873626234,1,1
91,0.04962046444416046,0.0002685480006039143,1,1
129,0.061116307973861694,0.00027033199928700927,1,1
182,0.06814458966255188,0.0002723979987204075,1,1
257,0.09019728004932404,0.0002745719999074936,1,1
363,0.11601150035858154,0.0002752179987728596,1,1
513,0.15584564208984375,0.00027417999878525735,1,1
725,0.20798593759536743,0.00027361799590289594,1,1
1025,0.28371143341064453,0.00027217599935829646,1,1
1450,0.3960244208574295,0.0002743180003017187,1,1
2048,0.5475723445415497,0.00027575000002980234,1,1
32,0.054906874895095825,0.019561376094818117,1,2
45,0.05283680558204651,0.01673664402961731,1,2
64,0.05244085192680359,0.012459708094596865,1,2
91,0.05842353403568268,0.010946013987064362,1,2
129,0.06538675725460052,0.006699607968330383,1,2
182,0.07423339784145355,0.007751621991395951,1,2
257,0.09317751228809357,0.006892176061868669,1,2
363,0.1192493587732315,0.006663333982229234,1,2
513,0.1570177674293518,0.006022019982337952,1,2
725,0.2113690823316574,0.006507969975471497,1,2
1025,0.2872754782438278,0.0073121899664402015,1,2
1450,0.3956568439801534,0.0065693413416544584,1,2
2048,0.547999382019043,0.005643300533294678,1,2
32,0.06036923825740814,0.02495162391662598,1,3
45,0.06068989634513855,0.02183365392684937,1,3
64,0.06072458624839783,0.01873611199855805,1,3
91,0.06347724795341492,0.015891551911830903,1,3
129,0.06717921793460846,0.007807850003242491,1,3
182,0.07586990296840668,0.007673267990350724,1,3
257,0.09532490372657776,0.007628440141677859,1,3
363,0.12201559543609619,0.0075512400567531585,1,3
513,0.1601429432630539,0.008289562106132508,1,3
725,0.21446619927883148,0.0071273699700832365,1,3
1025,0.2907402948899703,0.008342132394964046,1,3
1450,0.3999401330947876,0.007269856055577596,1,3
2048,0.5524243513743082,0.0059157225290934244,1,3
32,0.0695478767156601,0.03331486380100251,1,4
45,0.0684623122215271,0.030720837950706483,1,4
64,0.07181507349014282,0.0319066858291626,1,4
91,0.07096008956432343,0.023975795984268192,1,4
129,0.07517264783382416,0.015518057882785798,1,4
182,0.07949855923652649,0.010888294100761415,1,4
257,0.09860146045684814,0.011004201948642732,1,4
363,0.12489521503448486,0.009963067978620531,1,4
513,0.1632794290781021,0.010074211895465852,1,4
725,0.21946722269058228,0.010082757314046223,1,4
1025,0.2972980907985142,0.012307300567626953,1,4
1450,0.4077274799346924,0.013540831883748371,1,4
2048,0.5617790222167969,0.015537216186523437,1,4
